Rank,Yahoo_Word,Yahoo_Count,LLM_Word,LLM_Count
1,can,8881,like,63579
2,will,7755,can,32945
3,one,5419,youre,19529
4,get,5165,often,14301
5,like,5161,use,13732
6,just,5083,might,13656
7,dont,4780,free,11900
8,people,4108,without,10581
9,good,3540,one,8603
10,know,3479,via,8298
11,think,3429,specific,8029
12,time,3348,help,7963
13,also,3134,details,7354
14,make,2857,time,7329
15,want,2839,check,7276
16,may,2534,even,7027
17,need,2498,just,6830
18,see,2454,search,6650
19,way,2438,common,6474
20,first,2278,feel,6442
21,use,2152,based,6421
22,many,2127,people,6209
23,really,2124,key,6136
24,try,2095,avoid,6127
25,well,2070,dont,6075
26,take,2015,get,5900
27,find,1995,data,5899
28,much,1964,many,5856
29,even,1937,first,5560
30,best,1861,new,5510
31,love,1839,start,5393
32,work,1818,issues,5209
33,say,1743,need,5197
34,things,1698,support,5196
35,question,1697,isnt,5184
36,help,1687,heres,5077
37,right,1673,work,5067
38,sure,1622,local,4883
39,now,1610,something,4856
40,something,1609,make,4823
41,back,1585,advice,4790
42,years,1563,thats,4783
43,life,1535,ill,4718
44,two,1528,step,4669
45,better,1467,tools,4657
46,give,1446,around,4581
47,new,1424,provide,4568
48,answer,1408,health,4439
49,day,1407,online,4435
50,look,1384,per,4310
